titulo,autor,ISBN_13,ISBN_10,ano,paginas,idioma,editora,rating,avaliacao,resenha,abandonos,relendo,querem_ler,lendo,leram,descricao,genero,male,female
Território Lovecraft,Matt Ruff,9788551006191,8551006193,2020,352,português,Intrínseca,3.8,950,231,32,0,1,237,965,"Nos Estados Unidos segregados da década de 1950, Atticus é um rapaz negro, veterano da Guerra da Coreia, fã de H P Lovecraft e outros escritores de pulp fiction Ao descobrir que o pai desapareceu, ele volta à cidade natal para, com o tio e a amiga, partir em uma missão de resgate Na viagem até a mansão do herdeiro da propriedade que mantinha um dos ancestrais de Atticus escravizado, o grupo enfrentará sociedades secretas, rituais sanguinolentos e o preconceito de todos os diasAo chegar, Atticus encontra seu pai acorrentado, mantido prisioneiro por uma confraria secreta, que orquestra um ritual cujo personagem principal é o próprio Atticus A única esperança de salvação do jovem, no entanto, pode ser a semente de sua destruição  e de toda a sua família E esta é apenas a primeira parada de uma jornada impressionante Estruturado ao mesmo tempo como uma coletânea de contos e um romance, Território Lovecraft apresenta, além de personagens memoráveis, elementos sobrenaturais, como casas assombradas e portais para outras realidades, objetos enfeitiçados e livros mágicosUm retrato caleidoscópico do racismo  o fantasma que até hoje assombra o mundo , a obra de Matt Ruff une ficção histórica e pulp noir ao horror e à fantasia de Lovecraft para explorar os terrores da época de segregação racial nos Estados Unidos",Fantasia / Ficção científica / História / Horror / Literatura Estrangeira / Suspense e Mistério / Terror ,35,65
A última porta,Scott Cawthon,9788551005989,8551005987,2020,336,português,Intrínseca,4.3,50,12,2,0,320,9,55," O game Five Nights at Freddys conquistou legiões de fãs no mundo todo Basta uma busca rápida na internet para encontrar inúmeras páginas dedicadas a desvendar os mistérios e as armadilhas do jogo, além de memes e produtos diversos inspirados nos personagens A série de livros, é claro, não ficou atrás e seguiu a mesma trilha de sucesso Escritos por Scott Cawthon, criador do jogo, e Kira Breed-Wrisley, os dois primeiros volumes já venderam 50 mil exemplares no Brasil, e agora chegou o momento de conhecer o tão aguardado desfecho da sérieEm A última porta, vamos descobrir o que realmente aconteceu com Charlie Ela ressurge depois da fatídica noite em que teve os ossos estraçalhados dentro de um animatrônico, ou, pelo menos, foi isso que John acreditou ter visto Ele se recusa a aceitar que essa Charlie é a mesma que ele tanto amava Algo naquele olhar misterioso e no sorriso estranho lhe diz que a garota esconde segredos muito mais sombrios do que todos imaginamCom a ajuda de Jessica, Carlton e Marla, John se lança em uma busca por respostas, ainda que isso signifique arriscar a própria vida e trazer à tona lembranças dolorosas Mas eles terão que ser mais ágeis do que nunca, porque uma nova pizzaria acabou de ser inaugurada na cidade, e, adivinhem, mais uma vez crianças subitamente começaram a desaparecer sem explicação",Aventura / Jogos / Literatura Estrangeira / Terror ,30,70
A Última Festa (e-Book),Lucy Foley,9788551005736,8551005731,2020,304,português,Intrínseca,3.8,5,1,87,3,8,527,5,"Todo ano, nove amigos comemoram o réveillon juntos Desta vez, apenas oito vão voltar para a casa depois da festaProgramado para acontecer em um cenário idílico, o réveillon que Miranda, Katie e os outros amigos que conheceram na faculdade passarão juntos este ano promete refeições deliciosas regadas a champanhe, música, jogos e conversas descontraídasNo entanto, as tensões começam já na viagem de trem  o grupo não tem mais nada em comum além de um passado de convivência, feridas jamais cicatrizadas e segredos potencialmente destrutivosE então, em meio à grande festa da última noite do ano, o fio que os mantém unidos enfim arrebenta No dia seguinte, alguém está morto e uma forte nevasca impede a vinda do resgate Ninguém pode entrar Ninguém pode sair Nem o assassinoContada em flashbacks a partir das perspectivas dos vários personagens, a história deste malfadado encontro é um daqueles mistérios de assassinato cheio de tensão e de ritmo perfeito"," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Ficção / Literatura Estrangeira / Crime / Romance policial / Ficção / Suspense e Mistério / Literatura Estrangeira / Romance policial / Suspense e Mistério ",13,87
Uma chance de lutar, Elizabeth Warren ,9788551006313,8551006312,2020,400,português,Intrínseca,3.8,15,0,2,0,84,9,19,"Um dos nomes mais importantes na corrida presidencial dos Estados Unidos em 2020, Elizabeth Warren conta sua trajetória de mulher de classe média à política influenteA senadora Elizabeth Warren é um retrato perfeito da realização do sonho americano: filha de um zelador e uma telefonista, venceu as dificuldades financeiras e o lugar-comum da época, de que o principal objetivo de toda mulher era conseguir um bom casamento Tornou-se professora em Harvard, atuou como consultora do Congresso americano e assistente do presidente Barack Obama na implantação de uma agência nacional de proteção financeira do consumidor e, aos 62 anos, elegeu-se senadora pelo estado de MassachusettsEspecializada na Lei de Falências americana, Elizabeth projetou-se nos cenários acadêmico e político ao comprovar, com uma série inédita de estudos e levantamento de dados financeiros, que, diferentemente do que se pregava, a falência não é resultado exclusivo de más escolhas dos endividados, mas também dos abusos cometidos pelas instituições financeiras Dessa constatação em diante, sua carreira tornou-se uma batalha constante em favor da proteção das famílias em situação de endividamento  uma vez resguardadas das arbitrariedades bancárias, todas as pessoas podem ter uma chance de lutar, assim com ela teve um diaNeste livro escrito de forma veemente e desafiadora, Warren mostra por que escolheu lutar com todas as forças pela classe média  e por que se tornou uma heroína para todos aqueles que acreditam que o governo americano pode e deve fazer melhor pelas famílias trabalhadoras","Biografia, Autobiografia, Memórias / Literatura Estrangeira / Não-ficção ",27,73
Uma Dor Tão Doce,David Nicholls,9788551005743,855100574X,2020,384,português,Intrínseca,3.5,421,142,34,1,1,61,453,"É 1997 e Charlie está determinado a presentear a mãe com uma boa dose de culpa por ela ter se separado, saído de casa e o deixado como cuidador do pai: um músico de jazz falido, dono de uma loja de discos falida e, agora, também um marido falido Para completar, o fim do casamento não podia ter acontecido em pior hora: os melhores amigos de Charlie se afastaram e ele tem certeza de que foi mal nas provas de admissão das universidades Mais sensível e com mais problemas do que teria coragem de admitir para os colegas, o garoto passa o tempo livre andando de bicicleta e lendoQuem conta essa história não é mais aquele Charlie adolescente, mas o adulto, às vésperas do casamento No entanto, são os eventos daquele verão - o drama familiar, o rompimento com os antigos antigos e o primeiro amor - que o transformam num narrador afiado e atentoNada feliz e um pouco ocupado naquelas férias, Charlie se depara acidentalmente com um ensaio de Romeu e Julieta Sua primeira reação é fugir dos exercícios e improvisações daquela ""galera do teatro"", mas há um bom motivo para ficar: Julieta No caso, a atriz que a interpretará Fran Fisher, uma garota bonita, confiante e metida a artistaCharlie - introvertido e sem uma forte personalidade - não poderia ser chamado de ""ator nato"", mas aos poucos melhora, principalmente quando Fran transforma a possibilidade de um encontro na motivação perfeita para mantê-lo na companhia de teatro E o garoto vai passar as férias de reinventando à medida que seus horizontes serão ampliados tanto por Fran quando por Almodóvar, Nick Drake, Radiohead e sobretudo ShakespeareUma dor tão doce é uma história de amor, mas também um romance sobre crescer, sobre sair de casa, sobre momentos que marcam e moldam nossa vida Um livro emocionante sem ser sentimentalista, que, com muita destreza, inteligência e humor, faz uma análise hilária sobre a adolescência e o poder da arte",Romance / Literatura Estrangeira ,11,89
DUPLICADO Este é o Mar,Mariana Enriquez,9788551005019,8551005014,2020,0,português,Intrínseca,0.0,0,0,0,0,1,0,1,nan,nan,50,50
A Última Festa,Lucy Foley,9788551005729,8551005723,2020,304,português,Intrínseca,3.8,5,1,87,3,8,527,5,"Todo ano, nove amigos comemoram o réveillon juntos Desta vez, apenas oito vão voltar para a casa depois da festaProgramado para acontecer em um cenário idílico, o réveillon que Miranda, Katie e os outros amigos que conheceram na faculdade passarão juntos este ano promete refeições deliciosas regadas a champanhe, música, jogos e conversas descontraídasNo entanto, as tensões começam já na viagem de trem  o grupo não tem mais nada em comum além de um passado de convivência, feridas jamais cicatrizadas e segredos potencialmente destrutivosE então, em meio à grande festa da última noite do ano, o fio que os mantém unidos enfim arrebenta No dia seguinte, alguém está morto e uma forte nevasca impede a vinda do resgate Ninguém pode entrar Ninguém pode sair Nem o assassinoContada em flashbacks a partir das perspectivas dos vários personagens, a história deste malfadado encontro é um daqueles mistérios de assassinato cheio de tensão e de ritmo perfeito"," Com uma trama assustadora e brilhantemente construída, A Última Festa planta no leitor a semente da dúvida: será que velhos amigos são sempre os melhores amigos?Crime / Ficção / Literatura Estrangeira / Romance policial / Suspense e Mistério ",13,87
Coragem,Raina Telgemeier,9788551006542,8551006541,2020,224,português,Intrínseca,4.4,224,34,1,3,686,24,194,"Fenômeno da literatura jovem atual, a cartunista Raina Telgemeier recria com sensibilidade e humor as ansiedades de sua infânciaA jovem Raina está com um probleminha Ela acordou com uma dor estranha na barriga Sua mãe também, então talvez seja só uma virose Até aí tudo bem, acontece É só descansar No entanto, quando Raina volta para a escola, surgem mais problemas A tal dor causa um enjoo que não passa, e agora ela está cheia de preocupações: medo de comer, de perder as amigas, dos trabalhos da escola e de uma palavrinha em especial, um terror que começa com a letra v Para completar, ela tem que lidar com a família caótica e com uma menina que vive implicando com ela, além dos colegas de turma, que só querem saber de nojeirasCada dia traz um novo receio para Raina Ela só tem 10 anos, e talvez seja um pouco complicado lidar com tudo isso sozinha Felizmente sua família percebe que há algo avassalador e paralisante tomando conta dela: a ansiedade Então, com a ajuda dos pais e da terapeuta, Raina vai descobrir que uma dorzinha pode esconder nossos maiores medos, e que é preciso coragem para dominá-losEm Coragem, a premiada cartunista Raina Telgemeier traça, com base em suas experiências, os desafios de crescer Em uma edição belamente ilustrada e colorida, o livro explora todo o desconforto do amadurecimento e mostra como o medo e a ansiedade afetaram a infância da autora","HQ, comics, mangá / Jovem adulto ",10,90
A Convenção das Aves,Ransom Riggs,9788551006238,8551006231,2020,320,português,Intrínseca,4.3,642,127,2,3,3,57,674,"Novo livro da fascinante série que já vendeu mais de 500 mil exemplares no BrasilA série O lar da srta Peregrine para crianças peculiares é sucesso no Brasil e no mundo, tendo figurado na lista de mais vendidos e alcançado a marca de meio milhão de exemplares Na aguardada continuação da história, vamos acompanhar os perigos que cercam o futuro do universo peculiarEm A Convenção das Aves, novo capítulo da série criada por Ransom Riggs, a jornada de Jacob pelo perigoso e surpreendente mundo peculiar dos Estados Unidos se transforma numa corrida contra o tempo Ao lado dos amigos, ele se envolve em uma misteriosa missão: precisa salvar a jovem Noor Pradesh e levá-la até uma mulher poderosa e enigmática conhecida apenas como VNoor parece ser a chave de uma profecia antiga que prevê um apocalipse que destruirá tudo e todos Em seu leito de morte, H confessa a Jacob que ela será uma dos sete que emanciparão os peculiares Mas quem são os sete? E do que  ou de quem  eles serão emancipados? Os questionamentos são muitos, mas a mensagem é clara: Salve Noor, salve os peculiaresMais do que nunca, eles precisarão se unir, embrenhando-se por mundos desconhecidos enquanto tentam decifrar a profecia e descobrir os planos malignos dos etéreos Enquanto isso, a srta Peregrine e as outras ymbrynes se veem em meio a negociações de paz com os clãs norte-americanos, buscando a todo custo evitar que uma guerra seja deflagrada e que o mundo peculiar sofra as consequências irreversíveis desse conflito Eles só não contavam que um de seus maiores inimigos talvez esteja se preparando para um retorno triunfal E aterrorizanteNuma edição em capa dura com sobrecapa, ilustrada com as fotos mais sombrias do acervo pessoal do autor, A Convenção das Aves vai conquistar novos leitores e encantar os fãs, preparando-os para o emocionante desfecho da saga, que está cada vez mais próximo",Fantasia / Ficção / Jovem adulto / Literatura Estrangeira / Horror ,18,82
Como o Cérebro Cria,David Eagleman,9788551006481,8551006487,2020,304,português,Intrínseca,4.4,22,2,1,2,1,35,16,"Unindo arte, ciência e cotidiano, neurocientista e compositor exploram origens e processos por trás da inovação em um livro que deu origem a série de mesmo nome disponível na NetflixO que guarda-chuvas, sinfonias, viagens espaciais, estádios de futebol, os quadros de Picasso e o calendário têm em comum? Todos foram concebidos, desenvolvidos e aperfeiçoados pelo poder da criatividade humanaEm um passeio pelas criações que tornaram o mundo o que ele é hoje, o compositor Anthony Brandt e o neurocientista David Eagleman explicam os elos entre a criatividade na arte, na ciência e na tecnologia e mostram as rotinas básicas do software da inovação em funcionamento Descrevendo as ferramentas e as estratégias responsáveis pela irrefreável inventividade de nossa espécie, Como o cérebro cria oferece inúmeros exemplos de como todos os atos criativos resultam das mesmas operações cerebrais aplicadas a algo que já existiaNeste mergulho profundo na mente criativa, Eagleman e Brandt tentam responder à pergunta: O que está por trás da capacidade  e do desejo  dos seres humanos de inventar? Ao mesmo tempo uma celebração do espírito humano e um vislumbre de como podemos melhorar o futuro ao abraçarmos nossa criatividade, o livro apresenta surpresas e curiosidades, além de dicas sobre como produzir ideias de sucesso",Matemática / Medicina e Saúde / Não-ficção ,22,78
1793,Niklas Natt och Dag,9788551006320,8551006320,2020,432,português,Intrínseca,4.2,156,48,4,2,1,27,102,"Em seu romance de estreia, o sueco Niklas Natt och Dag cria um retrato vívido da sombria Estocolmo do final do século XVIII Estamos no outono de 1793 Logo pela manhã, ainda de ressaca, o sentinela Mickel Cardell é alertado sobre um corpo que foi encontrado flutuando nas águas fétidas do lago da Ucharia Os esforços para identificar o cadáver totalmente mutilado são confiados ao incorruptível advogado Cecil Winge, que pede a ajuda de Cardell para resolver o caso O tempo, no entanto, é curto: a saúde de Winge é frágil, a situação política do país, instável e, pelas esquinas, proliferam paranoia, violência e conspirações Winge e Cardell mergulham nas sarjetas de um mundo brutal de ladrões, mercenários e aristocratas corrompidos De um filho de fazendeiro percorrendo um caminho traiçoeiro ao procurar fortuna na capital a uma jovem órfã enviada para uma casa de correção por um pároco impiedoso, acomplexa investigação passará pelas muitas camadas de uma sociedade corrupta Ricos e pobres, bons e maus, vivos e mortos: o cadáver retirado do lago pode comprometer e fundir todos esses mundosOusado e brilhante, 1793 é um noir histórico eletrizante que, a cada página, torna-se ainda mais perturbador",Ficção / Literatura Estrangeira / Suspense e Mistério ,22,78
